,Diagnose_KEY,Diagnose_name,Diagnose_Code,Diagnose_Flag,Diagnose_Silver_ID
0,1,"Cholera, puvodce: Vibrio cholerae 1 biotyp cholerae",A000,LU,MKEVJXOX-R9CW-DKRA-TXK8-0BGPWZCW3KVO
1,2,"Cholera, puvodce: Vibrio cholerae 1 biotyp eltor",A001,,FF0PI3KI-9FJ0-SIRJ-JDYN-30CAX204198D
2,3,"Cholera, NS     ",A009,L,HO34ALVT-LOPK-MFT4-2BQU-HD4OJPND2H7J
3,4,Brisní tyfus - typhus abdominalis  ,A010,,EMYX5WIE-ZMIG-IERM-T723-2ZJF7J2YZP14
4,5,Paratyfus A     ,A011,LU,X093B3B7-Y96F-LQLI-7X3E-UDVW5XUVJHB2
5,6,Paratyfus B     ,A012,,6WINVNFQ-PLRM-34OO-E9MA-1D1XBSLIQJI8
6,7,Paratyfus C     ,A013,L,LJR25LWV-WLXL-AYW6-2Q9A-MHYIJCFBJSGM
7,8,"Paratyfus, NS - infekce zpusobené Salmonellou paratyphi",A014,L,BME7QX9C-AX6N-3V38-HFOP-2EVSO1EZLCPS
8,9,Salmonellosis -  salmonelová enteritida  ,A020,,V1QNKY4N-EZ4B-TPK8-XZMV-FBN9GO2ZMAW1
9,10,Salmonelová septikémie     ,A021,L,WCJGNRJI-I9BI-D138-VVCI-DZOWXHUALMBF
10,11,Lokalizované infekce salmonelami    ,A022,,H5A2N06D-4VGK-2LI2-B0QD-VD6IE37L5M3R
11,12,Jiné urcené infekce salmonelami   ,A028,L,YEG3OK2P-E9OE-A6PV-D38W-E205IB73UTEQ
12,13,"Infekce salmonelami, NS    ",A029,LU,S671KKFB-Q7SZ-88PK-19SX-GECH55H3LQQX
13,14,"Shigellosis, puvodce: Shigella dysenteriae   ",A030,LU,E2WQIPOR-24CN-QZ3I-S83H-R26YHVXRJNWW
14,15,"Shigellosis, puvodce: Shigella flexneri   ",A031,LU,PT3K725B-BVB3-GP96-3G9Y-1STC4YKLTD49
15,16,"Shigellosis, původce: Shigella boydii   ",A032,,JAZA3QQT-0EL2-V22G-DB00-BN2UH2GJCC4V
16,17,"Shigellosis, puvodce: Shigella sonnei   ",A033,LU,C2TCRZEN-LGNV-AQE8-V8Z0-GI4KPQHR39OR
17,18,Shigellosis jiná     ,A038,,HG5JDGOI-LYR1-F15N-9G07-9UHF7Y2V2HPK
18,19,"Shigellosis, NS     ",A039,,H3G6MYU1-H02E-NF9B-CA8O-3EI9UNQYOH90
19,20,"Enteropatogenní infekce, puvodce: Escherichia coli  ",A040,LU,6BVPX483-49R9-ANGV-V50T-NK8FD94M7LST
20,21,"Enterotoxikogenní infekce, puvodce: Escherichia coli  ",A041,L,JJ565TJA-DIY8-2HJ3-83XW-XJ0I6YPGRQWV
21,22,"Enteroinvazivní infekce, puvodce: Escherichia coli  ",A042,,E02TR5FT-QU7M-PNJV-G2V2-TB7JBTUBRJQ0
22,23,"Enterohemoragické infekce, puvodce: Escherichia coli  ",A043,L,C8J3QTLE-1WOF-IN7E-6J56-5CU96LYGHZ87
23,24,"Jiné strevní infekce, puvodce: Escherchia coli ",A044,,15J9ZVQP-NWWO-9OZQ-YS1I-PXVASIULZGUL
24,25,"Enteritis, puvodce: Campylobacter    ",A045,,YTDO2OXG-RJS4-LTRC-SKB5-EG1J0LT1IQ0Y
25,26,"Enteritis, puvodce: Yersinia enterocolitica   ",A046,L,S993JA2D-RXVV-35UI-6HPY-D96CS9ZRF3B4
26,27,"Enterokolitis, puvodce: Clostridium difficile   ",A047,,P3PNNPN2-AUYZ-TSHF-KFUN-7XT3RXZE632H
27,28,Jiná urcená bakteriální strevní infekce  ,A048,L,4E2UL80C-KPT9-809M-Q8Y2-O6AZLN4OB9N3
28,29,"Bakteriální strevní infekce, NS   ",A049,L,3KI7ZFEG-KFTQ-923Q-YVGK-5E6X8K1OTMF9
29,30,Stafylokoková intoxikace prenesená potravinami   ,A050,,D9B439IK-2M4H-WE4J-52US-CQUJ3CM1J414
30,31,Botulismus      ,A051,LU,CB8WQBZI-KJ7I-X4VX-AQY9-UD4OQDS2U17C
31,32,"Intoxikace prenesená potravinami, puvodce: Clostridium perfingens [Clostridium",A052,,N47NJNDQ-GTVB-21HO-D5OF-57CSOVUBISLC
32,33,"Intoxikace prenesená potravinami, puvodce: Vibrio paraheamolyticus ",A053,,1YABDU18-JO57-8ZK8-MXWQ-DMA9LG4PLQ3P
33,34,"Intoxikace prenesená potravinami, puvodce: Bacillus cereus ",A054,LU,DMZMWXP4-G5KQ-0HTZ-OYU2-KLV4486OA6M2
34,35,Jiné specifikované bakteriální intoxikace prenesené potravinami ,A058,L,J6EVE0QG-VQQ0-8HDJ-UXZU-L1A4HURB9K0Y
35,36,"Bakteriální intoxikace prenesená potravinami, NS  ",A059,L,ZLPBEMTA-357C-2QE2-JE8K-SCQ02VR60UF8
36,37,Akutní amébová dysenterie - úplavice  ,A060,,ASGH3FIT-TN9K-99QC-G69N-8USN6BO7EPOO
37,38,Chronická strevní amébóza    ,A061,LU,AF72LZKO-2YIX-MZ7J-NN8R-GXX206JSMIYQ
38,39,Amébová nedysenterická kolitida    ,A062,LU,99J4ZFKR-24JG-NAZI-FSN9-78SV097M7UD2
39,40,Amoebom (strevní)     ,A063,L,4Z8Z3MJH-HP1G-SIZN-83NZ-ACJIPRXG55C5
40,41,Amébovy jaterní absces    ,A064,L,FTRKOIDF-LS5S-L24I-TRJ6-H3X96LUOXXJN
41,42,Amébovy plicní absces (J99.8*)   ,A065,,YC3H4I1G-W1V3-M6W4-8KZ4-DDN6Y56JV0ET
