City;Zip_Code;Kraj;Weight;Country
Havlíčkův Brod;58001;Vysočina;1;Czechia
Pacov;39501;Vysočina;0.95;Czechia
Velké Meziříčí;59401;Vysočina;0.95;Czechia
Třebíč;67401;Vysočina;1;Czechia
Hrotovice;67555;Vysočina;0.95;Czechia
Moravské Budějovice;67602;Vysočina;0.95;Czechia
Okříšky;67521;Vysočina;0.95;Czechia
Třebíč;67401;Vysočina;0.95;Czechia
Jihlava;58601;Vysočina;1;Czechia
Křižanov;59451;Vysočina;0.95;Czechia
Jaroměřice nad Rokytnou;67551;Vysočina;0.95;Czechia
Bystřice nad Pernštejnem;59301;Vysočina;0.95;Czechia
Světlá nad Sázavou;58291;Vysočina;0.95;Czechia
Havlíčkův Brod;58001;Vysočina;1;Czechia
Třebíč;67401;Vysočina;0.95;Czechia
Svratka;59202;Vysočina;0.95;Czechia
Nové Město na Moravě;59231;Vysočina;0.95;Czechia
Přibyslav;58222;Vysočina;0.95;Czechia
Pelhřimov;39301;Vysočina;0.95;Czechia
Jemnice;67531;Vysočina;0.95;Czechia
Třešť;58901;Vysočina;1;Czechia
Jihlava;58601;Vysočina;1;Czechia
Telč;58856;Vysočina;1;Czechia
Polná;58813;Vysočina;0.95;Czechia
Luka nad Jihlavou;58822;Vysočina;0.95;Czechia
Velká Bíteš;59501;Vysočina;0.95;Czechia
Kamenice nad Lipou;39470;Vysočina;0.95;Czechia
Žďár nad Sázavou;59101;Vysočina;0.95;Czechia
Golčův Jeníkov;58282;Vysočina;0.95;Czechia
Chotěboř;58301;Vysočina;0.95;Czechia
Měřín;59442;Vysočina;0.95;Czechia
Ledeč nad Sázavou;58401;Vysočina;0.95;Czechia
Třebíč;67401;Vysočina;0.95;Czechia
Jihlava;58601;Vysočina;0.95;Czechia
Ždírec nad Doubravou;58263;Vysočina;0.95;Czechia
Počátky;39464;Vysočina;0.95;Czechia
Jihlava;58601;Vysočina;0.95;Czechia
Havlíčkův Brod;58001;Vysočina;0.95;Czechia
Žirovnice;39468;Vysočina;0.95;Czechia
Humpolec;39601;Vysočina;0.95;Czechia
Náměšť nad Oslavou;67571;Vysočina;0.95;Czechia
Havlíčkův Brod;58001;Vysočina;0.95;Czechia
Jihlava;58601;Vysočina;0.95;Czechia
Třebíč;67401;Vysočina;0.95;Czechia
Žďár nad Sázavou;59101;Vysočina;0.95;Czechia
Jihlava;58601;Vysočina;0.95;Czechia
Pelhřimov;39301;Vysočina;0.95;Czechia
Jihlava;58601;Vysočina;0.95;Czechia
Žďár nad Sázavou;59101;Vysočina;0.95;Czechia
Jihlava;58601;Vysočina;0.95;Czechia
Pelhřimov;39301;Vysočina;0.95;Czechia
Pelhřimov;39301;Vysočina;0.95;Czechia
Brtnice;58832;Vysočina;0.95;Czechia
Bystřice nad Pernštejnem;59301;Vysočina;0.95;Czechia
Chotěboř;58301;Vysočina;0.95;Czechia
Černovice;39494;Vysočina;0.95;Czechia
Červená Řečice;39446;Vysočina;0.95;Czechia
Golčův Jeníkov;58282;Vysočina;0.95;Czechia
Habry;58281;Vysočina;0.95;Czechia
Havlíčkův Brod;58001;Vysočina;0.95;Czechia
Havlíčkův Brod;58001;Vysočina;0.95;Czechia
Havlíčkův Brod;58001;Vysočina;0.95;Czechia
Horní Cerekev;39403;Vysočina;0.95;Czechia
Hrotovice;67555;Vysočina;0.95;Czechia
Humpolec;39601;Vysočina;0.95;Czechia
Jaroměřice nad Rokytnou;67551;Vysočina;0.95;Czechia
Jemnice;67531;Vysočina;0.95;Czechia
Kamenice nad Lipou;39470;Vysočina;0.95;Czechia
Ledeč nad Sázavou;58401;Vysočina;0.95;Czechia
Lipnice nad Sázavou;58232;Vysočina;0.95;Czechia
Moravské Budějovice;67602;Vysočina;0.95;Czechia
Náměšť nad Oslavou;67571;Vysočina;0.95;Czechia
Nové Město na Moravě;59231;Vysočina;0.95;Czechia
Pacov;39501;Vysočina;0.95;Czechia
Pacov;39501;Vysočina;0.95;Czechia
Pelhřimov;39301;Vysočina;0.95;Czechia
Pelhřimov;39301;Vysočina;0.95;Czechia
Počátky;39464;Vysočina;0.95;Czechia
Polná;58813;Vysočina;0.95;Czechia
Přibyslav;58222;Vysočina;0.95;Czechia
Světlá nad Sázavou;58291;Vysočina;0.95;Czechia
Svratka;59202;Vysočina;0.95;Czechia
Telč;58856;Vysočina;0.95;Czechia
Telč;58856;Vysočina;0.95;Czechia
Třebíč;67401;Vysočina;0.95;Czechia
Třebíč;67401;Vysočina;0.95;Czechia
Třešť;58901;Vysočina;0.95;Czechia
Velká Bíteš;59501;Vysočina;0.95;Czechia
Velká Bíteš;59501;Vysočina;0.95;Czechia
