,Diagnose_Code,Diagnose_name
0,A000,"Cholera, puvodce: Vibrio cholerae 1 biotyp cholerae"
1,A001,"Cholera, puvodce: Vibrio cholerae 1 biotyp eltor"
2,A009,"Cholera, NS     "
3,A010,Brisní tyfus - typhus abdominalis  
4,A011,Paratyfus A     
5,A012,Paratyfus B     
6,A013,Paratyfus C     
7,A014,"Paratyfus, NS - infekce zpusobené Salmonellou paratyphi"
8,A020,Salmonellosis -  salmonelová enteritida  
9,A021,Salmonelová septikémie     
10,A022,Lokalizované infekce salmonelami    
11,A028,Jiné urcené infekce salmonelami   
12,A029,"Infekce salmonelami, NS    "
13,A030,"Shigellosis, puvodce: Shigella dysenteriae   "
14,A031,"Shigellosis, puvodce: Shigella flexneri   "
15,A032,"Shigellosis, původce: Shigella boydii   "
16,A033,"Shigellosis, puvodce: Shigella sonnei   "
17,A038,Shigellosis jiná     
18,A039,"Shigellosis, NS     "
19,A040,"Enteropatogenní infekce, puvodce: Escherichia coli  "
20,A041,"Enterotoxikogenní infekce, puvodce: Escherichia coli  "
21,A042,"Enteroinvazivní infekce, puvodce: Escherichia coli  "
22,A043,"Enterohemoragické infekce, puvodce: Escherichia coli  "
23,A044,"Jiné strevní infekce, puvodce: Escherchia coli "
24,A045,"Enteritis, puvodce: Campylobacter    "
25,A046,"Enteritis, puvodce: Yersinia enterocolitica   "
26,A047,"Enterokolitis, puvodce: Clostridium difficile   "
27,A048,Jiná urcená bakteriální strevní infekce  
28,A049,"Bakteriální strevní infekce, NS   "
29,A050,Stafylokoková intoxikace prenesená potravinami   
30,A051,Botulismus      
31,A052,"Intoxikace prenesená potravinami, puvodce: Clostridium perfingens [Clostridium"
32,A053,"Intoxikace prenesená potravinami, puvodce: Vibrio paraheamolyticus "
33,A054,"Intoxikace prenesená potravinami, puvodce: Bacillus cereus "
34,A058,Jiné specifikované bakteriální intoxikace prenesené potravinami 
35,A059,"Bakteriální intoxikace prenesená potravinami, NS  "
36,A060,Akutní amébová dysenterie - úplavice  
37,A061,Chronická strevní amébóza    
38,A062,Amébová nedysenterická kolitida    
39,A063,Amoebom (strevní)     
40,A064,Amébovy jaterní absces    
41,A065,Amébovy plicní absces (J99.8*)   
42,A066,Amébovy mozkovy absces (G07*)   
43,A067,Kozní amébóza     
44,A068,Amébová infekce jinych lokalizací   
45,A069,"Amébóza, NS     "
46,A070,Balantidióza      
47,A071,Giardiósa (lamblióza)     
48,A072,Kryptosporidióza      
49,A073,Izosporóza      
50,A078,Jiné urcené protozoární strevní nemoci  
